,artist,danceability,energy,key,loudness,acousticness,liveness,valence,tempo,duration_ms,major,minor
53,NAV,0.771,0.701,5,-4.112,0.186,0.096,0.42,144.007,175751,0,1
54,NAV,0.585,0.685,10,-4.643,0.531,0.0826,0.43,169.988,139364,0,1
55,NAV,0.88,0.626,6,-5.32,0.0331,0.0862,0.452,160.008,179487,0,1
56,NAV,0.912,0.494,1,-8.522,0.00834,0.0907,0.344,136.989,161146,0,1
57,NAV,0.845,0.765,1,-4.94,0.146,0.107,0.807,172.013,149191,1,0
58,NAV,0.799,0.786,5,-4.478,0.259,0.111,0.396,116.012,193981,0,1
59,NAV,0.725,0.75,1,-4.342,0.167,0.0865,0.37,172.17,124416,0,1
60,NAV,0.833,0.483,1,-6.672,0.439,0.111,0.338,172.046,178455,0,1
61,NAV,0.838,0.483,4,-7.016,0.0525,0.0775,0.168,156.861,160098,1,0
62,NAV,0.773,0.702,5,-5.288,0.102,0.136,0.917,160.08,155721,0,1
63,NAV,0.878,0.643,8,-6.325,0.00254,0.115,0.457,88.004,128072,1,0
64,NAV,0.865,0.867,1,-5.257,0.0948,0.14,0.93,139.937,199105,1,0
65,NAV,0.903,0.611,10,-4.37,0.0769,0.62,0.323,119.127,161320,1,0
66,NAV,0.871,0.843,3,-4.413,0.141,0.218,0.882,147.066,134622,1,0
67,NAV,0.951,0.704,6,-4.529,0.0282,0.112,0.717,134.027,174367,1,0
68,NAV,0.967,0.57,4,-6.375,0.11,0.106,0.848,126.979,188118,0,1
69,NAV,0.837,0.544,7,-7.457,0.3,0.294,0.33,97.963,170536,1,0
70,NAV,0.774,0.83,7,-4.421,0.153,0.121,0.869,74.976,153972,0,1
71,NAV,0.879,0.649,7,-6.655,0.534,0.188,0.51,134.009,179372,0,1
72,NAV,0.883,0.764,7,-4.388,0.0201,0.128,0.577,140.047,159641,1,0
73,NAV,0.844,0.58,8,-5.111,0.243,0.101,0.613,127.953,143825,0,1
74,NAV,0.892,0.589,10,-4.043,0.0544,0.114,0.386,113.016,186828,0,1
75,NAV,0.92,0.709,5,-4.732,0.0636,0.108,0.471,100.008,177138,0,1
76,NAV,0.817,0.547,9,-6.185,0.19,0.0909,0.485,97.49,149339,0,1
77,NAV,0.811,0.629,8,-5.27,0.0815,0.107,0.605,153.055,175864,1,0
78,NAV,0.788,0.548,8,-6.171,0.254,0.234,0.616,160.136,181502,0,1
79,NAV,0.908,0.639,0,-4.956,0.262,0.11,0.406,115.01,176959,1,0
80,NAV,0.801,0.636,4,-5.444,0.0144,0.311,0.21,146.137,160009,0,1
81,NAV,0.829,0.719,1,-5.843,0.159,0.112,0.62,156.054,174622,1,0
82,NAV,0.851,0.589,0,-5.077,0.323,0.108,0.673,143.943,186680,0,1
83,NAV,0.901,0.676,2,-7.033,0.0646,0.0863,0.452,85.018,148278,1,0
84,NAV,0.744,0.518,0,-7.592,0.403,0.107,0.339,141.971,185760,1,0
85,NAV,0.768,0.574,6,-6.104,0.384,0.336,0.278,74.949,217776,0,1
86,NAV,0.863,0.485,6,-8.44,0.299,0.109,0.518,145.945,184634,0,1
87,NAV,0.662,0.503,0,-6.701,0.439,0.102,0.315,162.918,179519,0,1
88,NAV,0.766,0.359,1,-9.491,0.301,0.114,0.202,172.0,169607,0,1
89,NAV,0.825,0.682,8,-5.197,0.137,0.122,0.5,146.129,170955,1,0
90,NAV,0.74,0.454,0,-7.521,0.424,0.106,0.412,76.507,253172,1,0
91,NAV,0.847,0.363,8,-7.535,0.189,0.111,0.174,140.077,206498,1,0
92,NAV,0.856,0.796,4,-5.322,0.16,0.132,0.448,162.053,166001,0,1
93,NAV,0.759,0.537,0,-5.865,0.334,0.166,0.299,160.951,131214,1,0
94,NAV,0.744,0.584,1,-6.128,0.587,0.141,0.257,85.018,170942,1,0
95,NAV,0.925,0.575,1,-5.992,0.0238,0.105,0.165,142.047,155493,1,0
96,NAV,0.832,0.581,2,-6.174,0.0457,0.166,0.44,160.032,138000,1,0
97,NAV,0.75,0.534,9,-7.004,0.23,0.152,0.451,159.998,204364,1,0
98,NAV,0.832,0.645,10,-5.065,0.187,0.0864,0.203,145.109,160677,1,0
99,NAV,0.783,0.634,10,-5.279,0.442,0.224,0.359,171.997,127323,0,1
100,NAV,0.805,0.561,1,-6.546,0.168,0.123,0.569,162.047,165556,1,0
101,NAV,0.777,0.472,5,-7.174,0.23,0.164,0.413,127.033,241964,0,1
102,NAV,0.796,0.637,5,-6.102,0.0391,0.111,0.403,80.011,169040,0,1
103,NAV,0.844,0.702,1,-6.224,0.265,0.321,0.273,152.955,181999,1,0
104,NAV,0.819,0.655,5,-5.246,0.264,0.111,0.486,79.995,142547,0,1
105,NAV,0.847,0.564,7,-8.168,0.0683,0.0874,0.171,126.997,181267,0,1
106,NAV,0.763,0.593,5,-5.442,0.184,0.14,0.308,134.012,234853,0,1
107,NAV,0.461,0.596,1,-6.963,0.745,0.0874,0.523,157.141,199973,0,1
108,NAV,0.645,0.753,5,-3.448,0.403,0.108,0.449,161.924,195053,0,1
109,NAV,0.85,0.622,5,-7.707,0.107,0.125,0.267,119.942,160667,0,1
110,NAV,0.811,0.53,7,-7.379,0.0619,0.0879,0.156,130.08,201067,1,0
111,NAV,0.796,0.735,9,-4.439,0.224,0.207,0.619,147.027,228387,0,1
112,NAV,0.811,0.778,1,-4.744,0.2,0.113,0.673,155.057,174320,0,1
113,NAV,0.923,0.732,1,-6.306,0.0332,0.0967,0.491,147.009,202213,1,0
114,NAV,0.741,0.578,11,-7.712,0.136,0.11,0.404,172.048,186800,1,0
115,NAV,0.644,0.513,0,-7.329,0.102,0.0774,0.265,119.989,300987,1,0
116,NAV,0.784,0.476,8,-9.963,0.0737,0.221,0.187,77.059,177027,1,0
117,NAV,0.826,0.426,8,-9.426,0.392,0.172,0.316,121.094,266467,1,0
118,NAV,0.871,0.682,6,-9.113,0.206,0.132,0.639,140.084,169787,0,1
119,NAV,0.58,0.407,7,-8.804,0.169,0.082,0.239,140.023,257493,1,0
120,NAV,0.826,0.422,3,-8.217,0.483,0.108,0.223,119.997,228107,0,1
121,NAV,0.68,0.549,5,-8.277,0.0919,0.548,0.29,162.874,265373,0,1
122,NAV,0.883,0.456,1,-8.338,0.0122,0.114,0.13,130.445,217187,1,0
123,NAV,0.757,0.498,0,-8.482,0.134,0.133,0.317,145.067,188960,0,1
124,NAV,0.751,0.483,1,-8.744,0.289,0.197,0.274,140.099,208867,1,0
125,NAV,0.678,0.395,9,-8.639,0.411,0.122,0.136,170.065,215067,0,1
126,NAV,0.858,0.348,10,-11.152,0.0681,0.0938,0.109,120.997,209347,1,0
127,NAV,0.74,0.543,1,-7.845,0.0748,0.1,0.175,152.003,227387,1,0
128,NAV,0.772,0.324,7,-10.75,0.114,0.245,0.271,148.226,182453,1,0
129,NAV,0.632,0.47,7,-9.197,0.103,0.0927,0.138,142.112,252627,0,1
130,NAV,0.853,0.56,5,-9.87,0.201,0.155,0.372,140.102,260653,0,1
131,NAV,0.749,0.398,5,-7.44,0.648,0.115,0.0859,80.032,226040,0,1
132,NAV,0.649,0.561,0,-6.297,0.0273,0.122,0.311,170.036,182880,0,1
133,NAV,0.726,0.728,8,-5.586,0.0407,0.251,0.627,143.019,161107,0,1
134,NAV,0.781,0.792,9,-6.68,0.0051,0.563,0.527,160.042,159000,0,1
135,NAV,0.563,0.456,10,-7.177,0.0643,0.161,0.195,181.48,215293,0,1
136,NAV,0.66,0.491,8,-6.645,0.0338,0.101,0.376,154.132,199520,0,1
137,NAV,0.394,0.329,4,-12.101,0.121,0.135,0.0678,104.257,116573,0,1
138,NAV,0.758,0.582,10,-6.813,0.187,0.103,0.506,160.037,186000,0,1
139,NAV,0.58,0.443,0,-10.05,0.342,0.102,0.5,72.573,162187,0,1
140,NAV,0.744,0.715,0,-6.103,0.101,0.0919,0.34,154.962,179773,1,0
141,NAV,0.684,0.356,9,-10.14,0.49,0.226,0.179,95.944,242587,0,1
142,NAV,0.961,0.517,10,-7.643,0.316,0.173,0.67,121.95,184918,0,1
143,Drake,0.434,0.662,1,-7.055,0.761,0.244,0.525,158.192,336511,0,1
144,Drake,0.695,0.735,2,-6.109,0.119,0.705,0.625,140.319,178623,1,0
145,Drake,0.767,0.427,7,-8.656,0.195,0.142,0.392,86.994,221980,0,1
146,Drake,0.712,0.368,7,-8.473,0.613,0.131,0.146,142.935,296568,0,1
147,Drake,0.703,0.556,2,-5.53,0.37,0.15,0.147,92.154,228461,1,0
148,Drake,0.659,0.465,1,-8.527,0.0591,0.235,0.275,167.959,291175,1,0
149,Drake,0.803,0.596,11,-6.064,0.000722,0.324,0.326,136.023,257605,0,1
150,Drake,0.575,0.556,9,-9.083,0.233,0.607,0.283,129.984,308756,1,0
151,Drake,0.566,0.423,2,-7.794,0.0545,0.109,0.1,129.951,273578,0,1
152,Drake,0.522,0.691,6,-6.174,0.132,0.176,0.587,78.546,205721,0,1
153,Drake,0.492,0.162,8,-11.665,0.968,0.109,0.0904,119.396,133763,0,1
154,Drake,0.84,0.743,1,-4.799,0.0192,0.63,0.155,83.72,204347,1,0
155,Drake,0.852,0.358,5,-10.804,0.12,0.0714,0.176,145.906,242966,0,1
156,Drake,0.653,0.52,5,-4.138,0.221,0.11,0.133,90.13,239635,0,1
157,Drake,0.467,0.63,10,-7.214,0.172,0.156,0.786,173.924,269884,1,0
158,Drake,0.841,0.485,10,-8.735,0.181,0.107,0.69,100.043,192418,0,1
159,Drake,0.32,0.464,8,-6.756,0.00641,0.133,0.335,178.2,229304,1,0
160,Drake,0.517,0.835,5,-6.135,0.109,0.178,0.685,122.993,213104,1,0
161,Drake,0.572,0.477,7,-8.784,0.382,0.129,0.0574,149.999,252379,0,1
162,Drake,0.774,0.411,4,-9.841,0.215,0.103,0.173,87.003,245131,0,1
163,Drake,0.551,0.529,9,-8.536,0.813,0.228,0.677,80.613,351220,0,1
164,Drake,0.491,0.821,7,-3.712,0.49,0.444,0.357,78.164,222929,0,1
165,Drake,0.41,0.823,1,-6.856,0.216,0.538,0.529,170.343,223124,1,0
166,Drake,0.745,0.446,2,-7.518,0.619,0.113,0.0396,122.982,220488,0,1
167,Drake,0.487,0.466,9,-9.257,0.328,0.072,0.352,86.83,269680,0,1
168,Drake,0.83,0.469,1,-8.899,0.283,0.113,0.829,81.615,247059,0,1
169,Drake,0.814,0.501,5,-7.722,0.282,0.325,0.526,145.034,237946,0,1
170,Drake,0.863,0.468,0,-5.757,0.231,0.181,0.514,86.455,192932,0,1
171,Drake,0.873,0.633,7,-4.683,0.00644,0.111,0.665,164.018,152195,1,0
172,Drake,0.724,0.698,1,-5.391,0.0108,0.36,0.808,170.045,184879,1,0
173,Drake,0.815,0.385,1,-5.654,0.145,0.368,0.109,77.293,149078,1,0
174,Drake,0.577,0.571,1,-7.405,0.299,0.459,0.459,85.41,271184,0,1
175,Drake,0.788,0.472,9,-7.864,0.803,0.104,0.453,80.519,234783,1,0
176,Drake,0.505,0.762,0,-3.436,0.43,0.134,0.707,149.952,204805,0,1
177,Drake,0.75,0.783,10,-4.183,0.301,0.0959,0.249,144.034,180000,0,1
178,Drake,0.445,0.57,6,-6.842,0.732,0.114,0.336,83.717,253803,1,0
179,Drake,0.629,0.747,4,-7.215,0.361,0.144,0.534,157.531,240957,0,1
180,Drake,0.514,0.391,8,-8.449,0.21,0.112,0.471,79.312,235566,0,1
181,Drake,0.484,0.517,11,-5.473,0.785,0.111,0.536,106.855,281519,0,1
182,Drake,0.74,0.354,1,-11.251,0.366,0.0942,0.0357,94.911,353698,1,0
183,Drake,0.669,0.809,8,-3.823,0.0318,0.133,0.58,166.109,266325,1,0
184,Drake,0.763,0.657,0,-4.85,0.122,0.0947,0.53,192.041,240218,1,0
185,Drake,0.502,0.863,11,-4.462,0.0514,0.0717,0.335,86.05,205264,0,1
186,Drake,0.477,0.501,11,-9.178,0.706,0.0953,0.689,81.376,253562,0,1
187,Drake,0.359,0.486,6,-5.684,0.598,0.0985,0.413,81.755,294651,0,1
188,Drake,0.393,0.83,2,-2.956,0.00999,0.0897,0.28,89.209,254022,1,0
189,Drake,0.417,0.711,6,-6.482,0.766,0.18,0.533,91.608,283816,0,1
190,Drake,0.583,0.734,1,-5.09,0.262,0.19,0.271,99.044,252884,1,0
191,Drake,0.68,0.453,5,-8.424,0.173,0.065,0.307,78.066,343455,0,1
192,Drake,0.577,0.476,11,-11.265,0.777,0.106,0.32,126.344,225012,0,1
193,Drake,0.515,0.482,10,-8.701,0.425,0.105,0.143,172.161,251240,0,1
194,Drake,0.634,0.171,4,-8.623,0.475,0.119,0.0769,85.013,189289,0,1
195,Drake,0.477,0.422,6,-10.389,0.939,0.107,0.0815,87.269,176173,1,0
196,Drake,0.597,0.696,1,-6.799,0.387,0.126,0.427,67.526,290787,0,1
197,Drake,0.565,0.535,8,-5.158,0.537,0.165,0.22,159.909,375053,1,0
198,Drake,0.794,0.717,9,-4.629,0.00454,0.146,0.937,127.446,234173,0,1
199,Drake,0.756,0.451,11,-11.287,0.588,0.0942,0.555,143.864,188187,0,1
200,Drake,0.622,0.844,10,-3.759,0.165,0.455,0.12,94.449,302493,0,1
201,Drake,0.565,0.502,11,-5.594,0.362,0.164,0.332,103.418,193973,0,1
202,Drake,0.545,0.755,8,-5.438,0.66,0.209,0.481,115.029,230707,1,0
203,Drake,0.76,0.887,11,-4.902,0.107,0.668,0.783,120.396,230493,0,1
204,Drake,0.441,0.929,5,-2.199,0.203,0.165,0.546,162.395,257680,0,1
205,Drake,0.775,0.906,2,-2.806,0.159,0.773,0.841,150.08,209960,0,1
206,Drake,0.433,0.82,1,-3.136,0.00371,0.0852,0.405,87.076,382267,1,0
207,Drake,0.691,0.498,0,-5.716,0.191,0.107,0.534,94.99,262040,0,1
208,Drake,0.456,0.509,2,-6.204,0.205,0.122,0.239,147.154,139587,1,0
209,Drake,0.468,0.782,11,-8.303,0.812,0.107,0.24,159.621,243720,0,1
210,Drake,0.393,0.0878,5,-21.628,0.989,0.316,0.122,185.562,174400,1,0
211,Drake,0.413,0.497,6,-9.039,0.636,0.179,0.368,112.306,213493,1,0
212,Drake,0.393,0.852,6,-2.278,0.0193,0.291,0.15,106.902,332547,1,0
213,Drake,0.614,0.587,9,-9.111,0.14,0.123,0.153,84.453,136187,0,1
214,Drake,0.912,0.405,7,-8.132,0.0104,0.105,0.428,154.985,238614,1,0
215,Drake,0.539,0.48,1,-8.707,0.0166,0.115,0.0549,74.269,184960,1,0
216,Drake,0.413,0.67,1,-5.098,0.0245,0.0796,0.0789,172.438,302173,1,0
217,Drake,0.758,0.452,7,-9.21,0.0322,0.583,0.346,77.168,198973,1,0
218,Drake,0.896,0.596,11,-8.215,0.354,0.0841,0.416,149.984,214467,0,1
219,Drake,0.529,0.682,2,-7.941,0.164,0.478,0.333,170.601,195720,1,0
220,Drake,0.754,0.576,4,-8.578,0.0409,0.276,0.546,85.985,205147,0,1
221,Drake,0.835,0.603,10,-7.25,0.144,0.084,0.435,86.951,163974,0,1
222,Drake,0.506,0.842,1,-5.464,0.0467,0.142,0.506,151.074,216333,1,0
223,Drake,0.763,0.487,11,-9.841,0.00262,0.229,0.354,140.098,223240,1,0
224,Drake,0.622,0.547,1,-7.679,0.731,0.16,0.547,81.489,226907,1,0
225,Drake,0.687,0.209,9,-13.59,0.849,0.106,0.254,91.971,206027,0,1
226,Drake,0.775,0.482,1,-11.269,0.477,0.11,0.134,136.016,247893,1,0
227,Drake,0.771,0.272,0,-5.703,0.0342,0.175,0.0369,116.057,262453,1,0
228,Drake,0.693,0.9,8,-6.51,0.0895,0.12,0.787,93.407,210747,1,0
229,Drake,0.807,0.32,0,-8.152,0.133,0.101,0.298,94.99,182080,0,1
230,Drake,0.66,0.555,2,-12.497,0.101,0.0735,0.562,168.026,207307,1,0
231,Drake,0.737,0.389,11,-6.75,0.033,0.107,0.271,85.096,157605,1,0
232,Drake,0.901,0.396,10,-10.266,0.0142,0.183,0.118,133.979,162800,1,0
233,Drake,0.833,0.619,8,-5.822,0.0496,0.3,0.366,91.022,217925,1,0
234,Drake,0.826,0.318,10,-12.391,0.493,0.11,0.138,103.002,245787,1,0
235,Drake,0.678,0.426,2,-13.115,0.0427,0.138,0.34,141.981,289560,1,0
236,Drake,0.539,0.449,0,-11.098,0.435,0.115,0.106,88.735,219960,1,0
237,Drake,0.502,0.413,10,-7.369,0.41,0.36,0.311,92.956,309560,0,1
238,Drake,0.626,0.492,10,-6.89,0.0625,0.57,0.198,141.847,218674,0,1
239,Drake,0.911,0.612,10,-6.946,0.0848,0.547,0.587,97.011,149569,0,1
240,Drake,0.81,0.457,11,-11.388,0.25,0.109,0.358,111.981,298941,1,0
241,Drake,0.735,0.359,11,-10.506,0.766,0.29,0.225,123.047,107673,1,0
242,Drake,0.78,0.72,5,-9.131,0.0989,0.104,0.841,122.993,250337,0,1
243,Drake,0.838,0.522,7,-10.452,0.234,0.607,0.332,105.993,205163,1,0
244,Drake,0.752,0.531,7,-7.804,0.0533,0.0984,0.366,98.032,216558,0,1
245,Drake,0.627,0.236,11,-12.273,0.534,0.113,0.205,111.937,186293,0,1
246,Drake,0.876,0.381,1,-8.276,0.0352,0.0942,0.116,131.013,189230,1,0
247,Drake,0.68,0.819,1,-6.367,0.00979,0.155,0.408,130.284,143214,1,0
248,Drake,0.926,0.431,1,-8.178,0.0138,0.279,0.333,136.051,236615,1,0
249,Drake,0.904,0.432,8,-11.829,0.0448,0.138,0.531,139.062,307593,1,0
250,Drake,0.772,0.235,11,-7.545,0.347,0.356,0.27,96.876,153725,0,1
251,Drake,0.768,0.284,8,-10.328,0.108,0.118,0.139,97.063,219692,0,1
252,Drake,0.881,0.604,1,-6.862,0.0181,0.132,0.0991,120.0,162638,1,0
253,Drake,0.515,0.573,4,-9.169,0.711,0.37,0.398,85.434,305374,1,0
254,Drake,0.858,0.575,1,-8.464,0.0145,0.12,0.478,82.001,228438,1,0
255,Drake,0.699,0.389,0,-8.832,0.194,0.709,0.409,162.044,206120,1,0
256,Drake,0.468,0.266,0,-11.121,0.348,0.209,0.222,153.292,368036,1,0
257,Drake,0.927,0.49,9,-9.372,0.107,0.176,0.614,133.99,210937,0,1
258,Drake,0.812,0.543,9,-7.656,0.0782,0.39,0.618,124.927,250770,1,0
259,Drake,0.62,0.69,7,-5.972,0.248,0.112,0.424,170.994,283551,0,1
260,Drake,0.337,0.56,9,-7.675,0.139,0.382,0.206,89.132,328907,0,1
261,Drake,0.703,0.71,10,-7.198,0.000823,0.229,0.0381,99.983,255787,1,0
262,Drake,0.43,0.422,2,-11.352,0.34,0.134,0.12,174.996,297373,1,0
263,Drake,0.6,0.681,7,-7.065,0.0351,0.108,0.191,193.755,240653,1,0
264,Drake,0.786,0.627,4,-8.288,0.0249,0.358,0.233,129.988,209413,0,1
265,Drake,0.549,0.742,1,-6.923,0.0663,0.369,0.334,82.617,253533,1,0
266,Drake,0.692,0.306,0,-8.607,0.619,0.117,0.385,119.442,333947,1,0
267,Drake,0.877,0.403,1,-9.966,0.134,0.112,0.785,128.009,195053,1,0
268,Drake,0.533,0.435,1,-10.526,0.101,0.329,0.168,99.971,290147,1,0
269,Drake,0.834,0.436,0,-9.57,0.0273,0.564,0.239,133.911,189693,1,0
270,Drake,0.555,0.468,10,-11.131,0.0786,0.113,0.325,93.877,245227,0,1
271,Drake,0.788,0.605,1,-5.586,0.00899,0.318,0.427,103.94,173973,1,0
272,Drake,0.711,0.44,1,-9.605,0.00146,0.0782,0.101,129.212,220440,1,0
273,Drake,0.733,0.478,8,-11.13,0.016,0.284,0.308,80.011,241413,1,0
274,Drake,0.726,0.442,7,-10.087,0.186,0.106,0.0589,133.066,212947,1,0
275,Drake,0.787,0.646,7,-7.792,0.0504,0.104,0.426,117.969,263360,1,0
276,Drake,0.694,0.27,4,-8.75,0.392,0.0912,0.199,132.0,106333,0,1
277,Drake,0.711,0.263,1,-14.423,0.0728,0.0772,0.243,79.923,238147,0,1
278,Drake,0.598,0.849,0,-5.896,0.0606,0.359,0.108,79.969,311960,1,0
279,Drake,0.892,0.628,2,-7.77,0.00268,0.0463,0.62,134.961,267187,1,0
280,Drake,0.881,0.546,2,-7.566,0.00296,0.226,0.276,140.032,231231,1,0
281,Drake,0.776,0.675,8,-6.224,0.00196,0.227,0.27,131.984,217707,0,1
282,Drake,0.824,0.49,7,-8.391,0.0369,0.0807,0.307,165.948,211643,1,0
283,Drake,0.51,0.358,1,-10.847,0.125,0.111,0.171,136.036,314632,1,0
284,Drake,0.739,0.416,0,-9.319,0.0966,0.1,0.259,109.168,209288,0,1
285,Drake,0.845,0.479,1,-6.065,0.0104,0.157,0.35,170.919,202085,1,0
286,Drake,0.828,0.55,5,-9.158,0.000379,0.134,0.254,160.016,180000,1,0
287,Drake,0.787,0.329,0,-9.991,0.0207,0.118,0.209,137.85,220862,1,0
288,Drake,0.852,0.553,1,-7.286,0.0559,0.332,0.656,142.079,205879,1,0
289,Drake,0.758,0.526,5,-10.81,0.513,0.0913,0.312,146.054,188703,0,1
290,Drake,0.744,0.619,4,-9.143,0.671,0.123,0.317,89.252,253935,0,1
291,Drake,0.725,0.563,1,-7.553,0.0179,0.0776,0.317,100.021,241853,1,0
292,Drake,0.742,0.511,11,-8.176,0.398,0.545,0.572,171.789,181933,1,0
293,Drake,0.834,0.757,11,-3.708,0.284,0.0787,0.878,173.001,177733,0,1
294,Drake,0.753,0.397,11,-8.763,0.189,0.342,0.198,114.641,275840,0,1
295,Drake,0.823,0.449,7,-10.452,0.555,0.136,0.564,95.024,310933,0,1
296,Drake,0.905,0.505,2,-8.598,0.015,0.371,0.118,110.017,177840,1,0
297,Drake,0.856,0.622,2,-8.737,0.0252,0.127,0.498,105.464,180667,1,0
298,Drake,0.539,0.391,3,-8.052,0.729,0.2,0.174,147.209,294973,1,0
299,Drake,0.592,0.506,2,-8.127,0.181,0.104,0.354,130.767,236973,1,0
300,Drake,0.345,0.468,9,-8.189,0.706,0.217,0.194,135.502,212280,0,1
301,Drake,0.922,0.366,10,-9.138,0.0798,0.0808,0.356,95.993,268480,0,1
302,Drake,0.773,0.54,8,-9.268,0.232,0.114,0.326,158.109,167653,1,0
303,Drake,0.506,0.488,1,-7.48,0.114,0.101,0.0837,107.905,281320,1,0
304,Drake,0.659,0.544,7,-8.227,0.0373,0.166,0.11,107.547,252640,1,0
305,Drake,0.582,0.47,3,-7.473,0.169,0.131,0.204,153.969,264907,1,0
306,Drake,0.685,0.226,7,-8.694,0.618,0.107,0.418,99.786,320400,1,0
307,Drake,0.488,0.846,5,-4.206,0.0946,0.156,0.366,89.752,283307,1,0
308,Drake,0.507,0.676,6,-5.38,0.108,0.232,0.314,79.317,366413,1,0
309,Drake,0.486,0.765,9,-5.283,0.142,0.0611,0.28,137.136,267360,0,1
310,Drake,0.73,0.5,8,-7.899,0.0324,0.156,0.599,172.628,174133,1,0
311,Drake,0.869,0.408,6,-8.669,0.0407,0.101,0.374,99.979,217693,0,1
